session_id,timestamp,user_id,surface,device,country,position,item_id,artist_id,style,price,margin,freshness,availability,logging_policy_score,popularity_score_pre,retrieval_similarity_pre,affinity_score,examined,clicked,dwell_seconds,saved,add_to_cart,purchased_immediate,not_interested,not_interested_reason
session_000001,2026-01-01 22:07:00,user_0001,similar_item,ios,NL,3,item_0118,artist_016,modern,169.24,75.92,0.3617,1,0.5536,0.1929,0.7616,1.5444,1,1,9,1,0,0,0,none
session_000004,2026-01-01 12:12:00,user_0002,home_feed,web,GB,8,item_0090,artist_031,modern,31.63,15.55,0.4198,1,0.2251,0.159,0.4366,0.8461,1,1,10,0,0,0,0,none
session_000005,2026-01-01 12:50:00,user_0009,home_feed,ios,GB,5,item_0013,artist_013,contemporary,124.14,30.97,0.7041,1,0.3862,0.0534,0.7021,1.6668,1,1,30,1,0,0,0,none
session_000005,2026-01-01 12:50:00,user_0009,home_feed,ios,GB,8,item_0071,artist_024,minimalist,272.55,96.36,0.6565,1,0.2251,0.0278,0.4059,1.5045,1,1,17,0,0,0,0,none
session_000006,2026-01-01 20:21:00,user_0015,search_browse,android,GB,5,item_0127,artist_033,abstract,309.31,84.63,0.8495,1,0.3862,0.0529,0.7843,1.5208,1,1,14,0,0,0,0,none
session_000006,2026-01-01 20:21:00,user_0015,search_browse,android,GB,6,item_0154,artist_029,landscape,125.99,57.14,0.8596,1,0.3226,0.1343,0.468,1.4866,1,1,34,1,1,0,0,none
session_000006,2026-01-01 20:21:00,user_0015,search_browse,android,GB,11,item_0040,artist_037,minimalist,183.14,61.54,0.5886,1,0.1312,0.0535,0.4939,1.3033,1,1,13,0,0,0,0,none
session_000006,2026-01-01 20:21:00,user_0015,search_browse,android,GB,14,item_0131,artist_034,portrait,379.1,157.96,0.6595,1,0.1,0.0164,0.3411,1.2355,1,1,12,0,0,0,0,none
session_000007,2026-01-01 20:06:00,user_0019,email_push,web,FR,4,item_0091,artist_019,portrait,60.43,26.16,0.2769,1,0.4624,0.0748,0.5259,1.4615,1,0,0,0,0,0,1,poor_match
session_000007,2026-01-01 20:06:00,user_0019,email_push,web,FR,14,item_0001,artist_001,landscape,87.6,46.43,0.7204,1,0.1,0.0701,0.3652,0.9341,1,1,38,0,0,0,0,none
session_000007,2026-01-01 20:06:00,user_0019,email_push,web,FR,15,item_0090,artist_031,modern,31.63,15.55,0.4198,1,0.1,0.2423,0.17,0.9808,1,1,22,0,0,0,0,none
session_000008,2026-01-01 22:47:00,user_0019,home_feed,android,FR,11,item_0133,artist_022,landscape,307.46,140.25,0.3773,1,0.1312,0.2126,0.2529,0.959,1,1,6,0,1,0,0,none
session_000009,2026-01-01 20:56:00,user_0020,similar_item,android,NL,4,item_0001,artist_001,landscape,87.6,46.43,0.7204,1,0.4624,0.1951,0.6472,1.5674,1,1,15,1,0,0,0,none
session_000009,2026-01-01 20:56:00,user_0020,similar_item,android,NL,6,item_0095,artist_021,landscape,94.04,40.42,0.6582,1,0.3226,0.0649,0.5079,1.338,1,1,22,1,0,0,0,none
session_000009,2026-01-01 20:56:00,user_0020,similar_item,android,NL,7,item_0091,artist_019,portrait,60.43,26.16,0.2769,1,0.2695,0.0748,0.4518,1.3251,1,1,10,1,0,0,0,none
session_000009,2026-01-01 20:56:00,user_0020,similar_item,android,NL,10,item_0041,artist_031,landscape,71.04,24.7,0.4884,1,0.157,0.0093,0.2126,1.2022,1,1,14,0,0,0,0,none
session_000009,2026-01-01 20:56:00,user_0020,similar_item,android,NL,12,item_0069,artist_016,landscape,135.98,35.97,0.6925,1,0.1096,0.1194,0.3944,1.0821,1,1,16,0,0,0,0,none
session_000010,2026-01-01 08:55:00,user_0020,home_feed,android,NL,7,item_0091,artist_019,portrait,60.43,26.16,0.2769,1,0.2695,0.1165,0.4518,1.2325,1,1,24,0,1,0,0,none
session_000010,2026-01-01 08:55:00,user_0020,home_feed,android,NL,19,item_0118,artist_016,modern,169.24,75.92,0.3617,1,0.1,0.2554,0.4863,0.7966,1,1,10,0,0,0,0,none
session_000012,2026-01-01 22:26:00,user_0021,home_feed,web,US,0,item_0084,artist_005,impressionism,234.25,88.9,0.6564,1,0.95,0.0994,0.7718,2.3215,1,1,10,1,0,0,0,none
session_000012,2026-01-01 22:26:00,user_0021,home_feed,web,US,3,item_0027,artist_027,contemporary,65.46,20.17,0.546,1,0.5536,0.2243,0.4733,1.8017,1,1,60,0,0,1,0,none
session_000012,2026-01-01 22:26:00,user_0021,home_feed,web,US,4,item_0144,artist_001,landscape,148.28,46.21,0.5756,1,0.4624,0.0265,0.5471,1.7257,1,1,11,1,0,0,0,none
session_000012,2026-01-01 22:26:00,user_0021,home_feed,web,US,13,item_0011,artist_011,landscape,252.69,72.87,0.7491,1,0.1,0.0475,0.5045,1.1356,1,1,24,1,0,0,0,none
session_000012,2026-01-01 22:26:00,user_0021,home_feed,web,US,16,item_0137,artist_029,abstract,90.05,36.81,0.452,1,0.1,0.105,0.2746,1.1199,1,1,21,0,0,0,0,none
session_000013,2026-01-01 20:02:00,user_0022,home_feed,ios,FR,7,item_0091,artist_019,portrait,60.43,26.16,0.2769,1,0.2695,0.1373,0.3164,1.3057,1,1,8,0,0,0,0,none
session_000014,2026-01-01 08:51:00,user_0023,home_feed,android,GB,1,item_0157,artist_008,surrealism,94.3,37.32,0.4411,1,0.7935,0.2344,0.6073,2.0459,1,1,30,1,0,0,0,none
session_000014,2026-01-01 08:51:00,user_0023,home_feed,android,GB,2,item_0131,artist_034,portrait,379.1,157.96,0.6595,1,0.6628,0.0997,0.54,1.4597,1,1,14,0,0,0,0,none
session_000014,2026-01-01 08:51:00,user_0023,home_feed,android,GB,19,item_0137,artist_029,abstract,90.05,36.81,0.452,1,0.1,0.1675,0.1899,0.9254,1,1,41,0,0,0,0,none
session_000015,2026-01-01 18:59:00,user_0024,home_feed,ios,DE,3,item_0066,artist_014,abstract,173.4,76.9,0.5978,1,0.5536,0.0857,0.5771,1.7608,1,1,38,1,0,0,0,none
session_000016,2026-01-01 08:37:00,user_0025,search_browse,web,GB,13,item_0056,artist_026,impressionism,243.74,139.64,0.9293,1,0.1,0.1835,0.5526,1.0731,1,0,0,0,0,0,1,poor_match
session_000018,2026-01-01 08:33:00,user_0026,similar_item,web,DE,3,item_0101,artist_014,minimalist,25.31,13.63,0.3168,1,0.5536,0.1147,0.5292,1.2953,1,1,16,0,0,0,0,none
session_000018,2026-01-01 08:33:00,user_0026,similar_item,web,DE,18,item_0120,artist_034,minimalist,220.09,99.28,0.4243,1,0.1,0.0682,0.2087,0.8734,1,1,10,0,0,0,0,none
session_000019,2026-01-01 08:25:00,user_0026,home_feed,web,DE,2,item_0006,artist_006,surrealism,230.86,96.83,0.5606,1,0.6628,0.079,0.3552,1.2926,1,0,0,0,0,0,1,already_seen
session_000021,2026-01-01 08:43:00,user_0027,home_feed,web,US,1,item_0013,artist_013,contemporary,124.14,30.97,0.7041,1,0.7935,0.1367,0.6486,1.7064,1,1,32,1,0,0,0,none
session_000021,2026-01-01 08:43:00,user_0027,home_feed,web,US,2,item_0037,artist_037,modern,168.17,43.54,0.2291,1,0.6628,0.1338,0.5995,1.6964,1,1,12,1,0,0,0,none
session_000021,2026-01-01 08:43:00,user_0027,home_feed,web,US,6,item_0140,artist_029,abstract,508.51,141.11,0.6135,1,0.3226,0.0854,0.6374,1.5226,1,1,21,0,0,0,0,none
session_000021,2026-01-01 08:43:00,user_0027,home_feed,web,US,14,item_0071,artist_024,minimalist,272.55,96.36,0.6565,1,0.1,0.0528,0.3359,1.2668,1,1,31,1,0,0,0,none
session_000022,2026-01-01 22:44:00,user_0027,search_browse,web,US,5,item_0035,artist_035,surrealism,53.02,27.6,0.7974,1,0.3862,0.1439,0.4596,1.4082,1,1,21,0,0,0,0,none
session_000022,2026-01-01 22:44:00,user_0027,search_browse,web,US,15,item_0131,artist_034,portrait,379.1,157.96,0.6595,1,0.1,0.0997,0.3551,1.0201,1,1,10,0,0,0,0,none
session_000022,2026-01-01 22:44:00,user_0027,search_browse,web,US,16,item_0110,artist_028,minimalist,84.65,32.25,0.1941,1,0.1,0.1342,0.7438,1.0321,1,0,0,0,0,0,1,already_seen
session_000022,2026-01-01 22:44:00,user_0027,search_browse,web,US,17,item_0070,artist_004,contemporary,401.31,219.67,0.8273,1,0.1,0.0646,0.2485,0.9143,1,1,21,0,0,0,0,none
session_000023,2026-01-01 20:29:00,user_0028,search_browse,ios,FR,2,item_0061,artist_015,landscape,215.55,124.82,0.9288,1,0.6628,0.1484,0.5755,1.6927,1,1,6,1,1,0,0,none
session_000023,2026-01-01 20:29:00,user_0028,search_browse,ios,FR,3,item_0051,artist_028,surrealism,352.89,153.61,0.6109,1,0.5536,0.1345,0.6734,1.7312,1,0,0,0,0,0,1,poor_match
session_000023,2026-01-01 20:29:00,user_0028,search_browse,ios,FR,7,item_0006,artist_006,surrealism,230.86,96.83,0.5606,1,0.2695,0.079,0.2812,1.4542,1,1,19,0,0,0,0,none
session_000023,2026-01-01 20:29:00,user_0028,search_browse,ios,FR,12,item_0156,artist_031,modern,247.04,112.56,0.8467,1,0.1096,0.0488,0.5695,1.3303,1,1,19,0,0,0,0,none
